YEAR	排名	 隊伍		No.	NAME	性別	位置	場數	局數	攻擊	攔網	發球	總得分	每局平均總得分/局數
2017	1	 長力男排	5	黃世豪	男	長攻	24	89	403	21	13	437	4.91
2017	2	 MIZUNO		11	吳宗軒	男	對角	24	93	372	26	22	420	4.52
2017	3	 國訓中心	7	劉鴻敏	男	長攻	24	89	355	25	10	390	4.38
2017	4	 台電公司	13	黃建逢	男	長攻	24	85	293	38	13	344	4.05
2017	5	 桃園石易	8	洪熙鈞	男	對角	24	84	257	26	10	293	3.49
2017	6	 桃園石易	7	黃建銘	男	長攻	24	84	236	27	11	274	3.26
2017	7	 台電公司	15	張善源	男	長攻	24	85	211	37	11	259	3.05
2017	8	 長力男排	20	焦璿誠	男	長攻	24	89	220	22	12	254	2.85
2017	9	 國訓中心	2	劉鴻杰	男	攔中	24	89	173	52	28	253	2.84
2017	10	 台電公司	6	詹旻翰	男	對角	24	85	186	33	11	230	2.71
2017	11	 MIZUNO		9	高偉誠	男	長攻	24	93	196	26	5	227	2.44
2017	12	 桃園石易	13	黃鈞璟	男	攔中	24	84	151	56	13	220	2.62
2017	13	 台電公司	8	莊邵捷	男	攔中	24	85	137	54	6	197	2.32
2017	14	 長力男排	8	林志勇	男	對角	24	89	175	15	5	195	2.19
2017	14	 國訓中心	12	許美中	男	長攻	24	89	147	31	17	195	2.19
2017	16	 國訓中心	13	潘柏鈜	男	長攻	24	89	138	21	23	182	2.04
2017	17	 MIZUNO		6	謝雅仁	男	長攻	24	93	139	24	9	172	1.85
2017	18	 MIZUNO		7	黃祥源	男	長攻	24	93	128	15	3	146	1.57
2017	18	 國訓中心	8	張良皓	男	攔中	24	89	92	44	10	146	1.64
2017	20	 桃園石易	4	陳政錡	男	攔中	24	84	92	48	3	143	1.7
2017	1	 中國人纖	9	陳姿雅	女	長攻	18	67	273	19	18	310	4.63
2017	2	 ATTACKLINE	5	譚緹	女	長攻	16	59	267	28	10	305	5.17
2017	3	 台電公司	9	張秝芸	女	長攻	18	64	181	11	20	212	3.31
2017	4	 中國人纖	4	羅儀璟	女	長攻	18	67	191	5	12	208	3.1
2017	5	 台電公司	3	曾琬羚	女	攔中	18	64	148	38	18	204	3.19
2017	6	 ATTACKLINE	3	蕭湘凌	女	長攻	18	66	172	4	12	188	2.85
2017	7	 台電公司	8	李姿瑩	女	長攻	18	64	155	15	8	178	2.78
2017	8	 台電公司	4	李淯	女	對角	18	64	135	16	3	154	2.41
2017	9	 匯竑國際	10	陳昱潔	女	長攻	18	57	116	18	8	142	2.49
2017	10	 ATTACKLINE	10	余金鳳	女	對角	18	66	106	12	10	128	1.94
2017	11	 中國人纖	10	劉美菁	女	攔中	18	67	84	26	8	118	1.76
2017	12	 中國人纖	13	吳韋華	女	長攻	18	67	101	8	7	116	1.73
2017	13	 ATTACKLINE	6	蔡沁瑤	女	攔中	18	66	79	21	13	113	1.71
2017	14	 中國人纖	11	陳菀婷	女	對角	18	67	83	15	14	112	1.67
2017	15	 台電公司	7	黃芯瑜	女	攔中	18	64	60	39	6	105	1.64
2017	16	 匯竑國際	2	劉雙菱	女	攔中	18	57	90	10	4	104	1.82
2017	17	 匯竑國際	4	溫以勤	女	攔中	18	57	76	10	5	91	1.6
2017	18	 中國人纖	17	邱雅慧	女	攔中	18	67	60	20	10	90	1.34
2017	19	 ATTACKLINE	2	艾萊莎	女	長攻	10	38	72	10	3	85	2.24
2017	20	 台電公司	15	陳曦	女	對角	18	64	57	22	5	84	1.31
2018	1	 MIZUNO		11	吳宗軒	男	對角	24	95	440	28	34	502	5.28
2018	2	 長力男排	5	黃世豪	男	長攻	24	91	342	19	22	383	4.21
2018	3	 conti		16	張閔舜	男	長攻	24	88	276	12	25	313	3.56
2018	4	 台電公司	15	張善源	男	長攻	24	90	253	34	9	296	3.29
2018	5	 長力男排	20	焦璿誠	男	長攻	24	91	252	22	14	288	3.16
2018	6	 MIZUNO		9	高偉誠	男	長攻	24	95	250	32	5	287	3.02
2018	7	 台電公司	14	王明浚	男	對角	24	90	221	20	13	254	2.82
2018	8	 conti		12	宋柏霆	男	長攻	24	88	198	15	10	223	2.53
2018	9	 台電公司	19	林宜暉	男	攔中	24	90	133	73	9	215	2.39
2018	10	 台電公司	10	張育陞	男	對角	24	90	159	21	21	201	2.23
2018	11	 長力男排	10	潘均儒	男	對角	24	91	165	13	1	179	1.97
2018	12	 台電公司	13	黃建逢	男	長攻	24	90	146	18	6	170	1.89
2018	13	 MIZUNO		6	謝雅仁	男	長攻	24	95	136	18	13	167	1.76
2018	14	 長力男排	17	柯宗甫	男	攔中	24	91	120	33	3	156	1.71
2018	15	 長力男排	18	林輅惟	男	攔中	24	91	106	45	2	153	1.68
2018	16	 conti		10	張昇倫	男	攔中	24	88	109	32	5	146	1.66
2018	17	 conti		18	陳立偉	男	長攻	24	88	134	8	2	144	1.64
2018	18	 台電公司	16	顏振富	男	攔中	24	90	102	25	5	132	1.47
2018	19	 台電公司	18	許紋誠	男	長攻	24	90	98	8	6	112	1.24
2018	20	 MIZUNO		15	陳昱翰	男	攔中	24	95	51	50	3	104	1.09
2018	1	 中國人纖	9	陳姿雅	女	長攻	24	93	315	30	15	360	3.87
2018	2	 ATTACKLINE	3	蕭湘凌	女	長攻	24	95	262	12	10	284	2.99
2018	3	 中國人纖	10	劉美菁	女	攔中	24	93	213	50	18	281	3.02
2018	4	 極速超跑	8	陳詩婷	女	攔中	24	94	237	31	7	275	2.93
2018	5	 台電公司	16	黃瀞萱	女	對角	24	88	205	44	16	265	3.01
2018	6	 台電公司	9	張秝芸	女	長攻	24	88	222	17	15	254	2.89
2018	7	 台電公司	3	曾琬羚	女	攔中	24	88	186	40	9	235	2.67
2018	8	 中國人纖	7	吳韋華	女	長攻	24	93	204	20	7	231	2.48
2018	9	 極速超跑	2	劉雙菱	女	長攻	24	94	205	15	7	227	2.41
2018	10	 中國人纖	4	羅儀璟	女	長攻	24	93	197	13	15	225	2.42
2018	11	 極速超跑	13	許菀芸	女	長攻	24	94	207	3	13	223	2.37
2018	12	 台電公司	8	李姿瑩	女	長攻	24	88	188	16	12	216	2.45
2018	13	 極速超跑	7	林書荷	女	對角	24	94	179	18	12	209	2.22
2018	14	 ATTACKLINE	7	吳芳妤	女	長攻	24	95	196	4	7	207	2.18
2018	15	 ATTACKLINE	5	譚緹	女	長攻	10	42	180	15	5	200	4.76
2018	16	 ATTACKLINE	13	蔡沁瑤	女	攔中	24	95	151	33	5	189	1.99
2018	17	 台電公司	7	黃芯瑜	女	攔中	24	88	94	48	17	159	1.81
2018	18	 中國人纖	8	邱雅慧	女	攔中	24	93	99	34	7	140	1.51
2018	19	 ATTACKLINE	17	畢雯媛	女	對角	24	95	114	6	3	123	1.29
2018	20	 台電公司	15	陳曦	女	攔中	24	88	82	24	6	112	1.27
2019	1	 雲林MIZUNO	11	李興國	男	攔中	20	75	323	39	8	370	4.93
2019	2	 台電公司	13	黃建逢	男	長攻	20	70	224	34	6	264	3.77
2019	3	 長力男排	10	潘均儒	男	對角	20	77	232	23	7	262	3.4
2019	4	 桃園台灣產險	12	許美中	男	長攻	20	75	220	16	8	244	3.25
2019	5	 桃園台灣產險	8	洪熙鈞	男	對角	20	75	202	23	7	232	3.09
2019	6	 conti		13	周冠宇	男	對角	20	69	203	13	11	227	3.29
